,index,Cell Phone,Disobey Steady Red Signal,Disobey Traffic Control Device,Improper Turn,Safety Belt,Tinted Windows
0,1,7229.0,3603.0,5427.0,2342.0,3996.0,1552.0
1,5,1569.0,3157.0,4805.0,5273.0,1573.0,505.0
2,6,4274.0,3960.0,3348.0,3032.0,3383.0,500.0
3,7,3767.0,3134.0,4533.0,2929.0,2331.0,855.0
4,9,5348.0,3330.0,3891.0,2567.0,3076.0,366.0
5,10,4610.0,1353.0,1824.0,2841.0,5635.0,916.0
6,13,1933.0,4469.0,5012.0,4831.0,717.0,297.0
7,14,9145.0,3909.0,7901.0,8146.0,6755.0,1460.0
8,17,1746.0,3222.0,1671.0,6023.0,1327.0,207.0
9,18,5963.0,2724.0,4076.0,9664.0,4786.0,544.0
10,19,4356.0,5325.0,7423.0,12760.0,1350.0,923.0
11,20,7090.0,3746.0,5481.0,1909.0,2986.0,678.0
12,22,1003.0,1157.0,642.0,3799.0,340.0,618.0
13,23,6261.0,1611.0,1786.0,1546.0,3200.0,920.0
14,24,4761.0,3088.0,3867.0,2025.0,1514.0,242.0
15,25,5091.0,1353.0,1348.0,5103.0,4693.0,1898.0
16,26,3376.0,1229.0,1970.0,1749.0,893.0,437.0
17,28,3714.0,2915.0,4146.0,2165.0,3531.0,821.0
18,30,4389.0,2754.0,2649.0,2440.0,2467.0,637.0
19,32,2021.0,1782.0,3672.0,1486.0,1493.0,1689.0
20,33,3233.0,1412.0,1839.0,1116.0,2351.0,1021.0
21,34,1718.0,1629.0,4317.0,1573.0,1202.0,594.0
22,40,2689.0,2180.0,3615.0,3871.0,2213.0,5086.0
23,41,1013.0,2580.0,4676.0,2368.0,1512.0,2330.0
24,42,2075.0,2801.0,3409.0,4179.0,1085.0,2516.0
25,43,1671.0,1381.0,2884.0,3235.0,2046.0,3181.0
26,44,2349.0,3442.0,4336.0,492.0,3692.0,2187.0
27,45,1755.0,971.0,1954.0,394.0,1514.0,2138.0
28,46,2112.0,2457.0,4465.0,1397.0,1481.0,8759.0
29,47,1779.0,962.0,2207.0,2315.0,3068.0,2622.0
30,48,2748.0,1333.0,2111.0,4044.0,1793.0,4218.0
31,49,1934.0,1407.0,2492.0,733.0,3260.0,2451.0
32,50,2265.0,2165.0,3742.0,1945.0,2556.0,2411.0
33,52,1895.0,1614.0,2403.0,3321.0,1616.0,7336.0
34,60,3276.0,2065.0,3686.0,811.0,2593.0,4025.0
35,61,5624.0,551.0,856.0,462.0,7363.0,2265.0
36,62,2614.0,2800.0,5705.0,1233.0,3469.0,3041.0
37,63,3269.0,1896.0,3269.0,797.0,1669.0,1695.0
38,66,4462.0,1845.0,3123.0,267.0,5923.0,2085.0
39,67,3416.0,2790.0,5324.0,1015.0,3037.0,6915.0
40,68,3570.0,2162.0,2099.0,2151.0,4105.0,1375.0
41,69,5577.0,1872.0,2754.0,2373.0,5868.0,6299.0
42,70,6189.0,2797.0,4252.0,5588.0,7028.0,3565.0
43,71,5998.0,5963.0,8345.0,2209.0,3929.0,4505.0
44,72,2294.0,3076.0,3292.0,1318.0,2293.0,1357.0
45,73,6612.0,3380.0,4886.0,2142.0,4213.0,7627.0
46,75,4028.0,2993.0,3685.0,2093.0,8628.0,9002.0
47,76,3942.0,811.0,1186.0,1728.0,2362.0,2218.0
48,77,3413.0,2802.0,5349.0,1412.0,2262.0,2737.0
49,78,3867.0,2650.0,4366.0,449.0,2952.0,1599.0
50,79,3885.0,4838.0,5584.0,1686.0,2185.0,1814.0
51,81,5084.0,1957.0,2370.0,215.0,4970.0,3427.0
52,83,3894.0,4298.0,8237.0,667.0,2813.0,1442.0
53,84,2403.0,3474.0,4113.0,4969.0,3192.0,1874.0
54,88,5787.0,2984.0,3663.0,437.0,3897.0,391.0
55,90,4195.0,2621.0,2190.0,2971.0,4804.0,1545.0
56,94,2352.0,3452.0,2924.0,1280.0,2406.0,1797.0
57,100,1654.0,1431.0,2064.0,1119.0,1639.0,1096.0
58,101,2262.0,2063.0,2417.0,437.0,2198.0,2866.0
59,102,3169.0,2510.0,4653.0,1326.0,3986.0,2306.0
60,103,4686.0,4817.0,10522.0,2821.0,7073.0,10956.0
61,104,3326.0,2055.0,3194.0,779.0,4050.0,2889.0
62,105,3635.0,1480.0,3340.0,996.0,6823.0,6029.0
63,106,1969.0,3102.0,3799.0,5394.0,4485.0,2585.0
64,107,2975.0,2278.0,3834.0,6335.0,6020.0,1366.0
65,108,4011.0,4283.0,6587.0,4807.0,3646.0,1512.0
66,109,7333.0,9022.0,13512.0,1771.0,9686.0,4539.0
67,110,5027.0,2257.0,3749.0,436.0,7773.0,1211.0
68,111,7719.0,989.0,1524.0,130.0,6249.0,2798.0
69,112,3592.0,3472.0,5420.0,1315.0,5888.0,1921.0
70,113,3670.0,1830.0,2679.0,6430.0,3204.0,6189.0
71,114,6695.0,4600.0,6993.0,1411.0,5105.0,2791.0
72,115,3458.0,3560.0,5314.0,2281.0,6245.0,4703.0
73,120,3679.0,3765.0,4764.0,196.0,4277.0,2801.0
74,121,1887.0,1985.0,6888.0,326.0,1565.0,1953.0
75,122,4131.0,3091.0,4856.0,205.0,4028.0,2511.0
76,123,2713.0,1213.0,1866.0,708.0,5026.0,2490.0
